uniqid,serialid,isocntry,w_national,w_eu,w_eu27_legacy,act_emergency_food_drink,act_emergency_water,act_flashlight_candles,act_battery_radio,act_first_aid_kit,act_documents_safe,act_grab_bag,act_signed_up_alerts,act_training_exercise,act_knows_official_plan,act_family_contact_plan,act_neighbourhood_discussion,act_home_protection,act_other,actions_dk,n_actions_survey_banded,days_water,days_power,days_gas_heating,days_food,days_medication,info_saw_info_last_12m,info_feels_informed,info_trusts_official_info,info_info_easy_to_find,info_knows_where_abroad,prep_prep_helps_cope,prep_feels_well_prepared,prep_no_time_or_money,prep_prep_info_easy,prep_needs_more_info,prep_knows_alert_channel,prep_knows_what_to_do,prep_employer_encourages,prep_services_encourage,no_disaster_experience,n_disasters_experienced,top_personal_risk,top_country_risk,trusts_emergency_services,volunteers_for_responders,gender,age,age_band,community_type,bill_difficulties,social_class,days_water_not_applicable,days_water_dont_know,days_power_not_applicable,days_power_dont_know,days_gas_heating_not_applicable,days_gas_heating_dont_know,days_food_not_applicable,days_food_dont_know,days_medication_not_applicable,days_medication_dont_know,info_saw_info_last_12m_agree,info_saw_info_last_12m_agree_topline,info_feels_informed_agree,info_feels_informed_agree_topline,info_trusts_official_info_agree,info_trusts_official_info_agree_topline,info_info_easy_to_find_agree,info_info_easy_to_find_agree_topline,info_knows_where_abroad_agree,info_knows_where_abroad_agree_topline,prep_prep_helps_cope_agree,prep_prep_helps_cope_agree_topline,prep_feels_well_prepared_agree,prep_feels_well_prepared_agree_topline,prep_no_time_or_money_agree,prep_no_time_or_money_agree_topline,prep_prep_info_easy_agree,prep_prep_info_easy_agree_topline,prep_needs_more_info_agree,prep_needs_more_info_agree_topline,prep_knows_alert_channel_agree,prep_knows_alert_channel_agree_topline,prep_knows_what_to_do_agree,prep_knows_what_to_do_agree_topline,prep_employer_encourages_agree,prep_employer_encourages_agree_topline,prep_services_encourage_agree,prep_services_encourage_agree_topline,n_actions,country,country_grouped,saw_info,took_any_action,n_horizon_answered
230015891.0,15891.0,LT,1.4803054916207055,0.24377853788373727,0.23668468123432676,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,3.0,4.0,3.0,1.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,6.0,15.0,3.0,3.0,4.0,2.0,39.0,3.0,1.0,3.0,3.0,False,False,False,False,False,False,False,False,False,False,True,1,False,0,False,0,False,0,True,1,True,1,True,1,False,0,False,0,True,1,True,1,True,1,True,1,False,0,9.0,LT,LT,True,True,5
230015892.0,15892.0,LT,0.7175817818718309,0.1181722547048038,0.1147334899878979,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,6.0,15.0,11.0,2.0,4.0,1.0,78.0,7.0,1.0,3.0,3.0,False,False,False,False,False,False,False,False,False,False,False,0,False,0,True,1,True,1,True,1,True,1,True,1,False,0,True,1,True,1,True,1,True,1,True,1,True,1,6.0,LT,LT,False,True,5
230015893.0,15893.0,LT,0.5824264354819435,0.09591470522153879,0.09312362617365083,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,,4.0,4.0,4.0,3.0,2.0,3.0,,,3.0,2.0,2.0,,3.0,,1.0,1.0,1.0,1.0,6.0,15.0,15.0,2.0,4.0,2.0,92.0,7.0,1.0,3.0,1.0,False,False,False,True,False,False,False,False,False,False,True,1,False,0,True,1,,0,,0,True,1,False,0,False,0,,0,True,1,,0,False,0,False,0,False,0,3.0,LT,LT,True,True,4
230015894.0,15894.0,LT,0.8809394073307102,0.1450741903606154,0.1408525902194319,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,,,,3.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,6.0,15.0,12.0,2.0,4.0,2.0,61.0,5.0,1.0,3.0,3.0,False,False,False,False,False,False,False,False,False,False,True,1,False,0,,0,,0,,0,True,1,False,0,False,0,True,1,True,1,False,0,True,1,False,0,False,0,6.0,LT,LT,True,True,5
230015895.0,15895.0,LT,0.8803588931138339,0.14497859056191717,0.14075977233612935,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,4.0,3.0,3.0,1.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0,6.0,15.0,12.0,2.0,4.0,1.0,62.0,5.0,1.0,2.0,1.0,False,False,False,False,False,False,False,False,False,False,False,0,True,1,True,1,True,1,True,1,True,1,True,1,False,0,True,1,False,0,True,1,True,1,False,0,False,0,7.0,LT,LT,False,True,5
230015896.0,15896.0,LT,0.8803588931138339,0.14497859056191717,0.14075977233612935,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,6.0,15.0,9.0,2.0,4.0,1.0,58.0,5.0,1.0,3.0,1.0,False,False,False,False,False,False,False,False,False,False,False,0,False,0,False,0,False,0,False,0,True,1,True,1,False,0,True,1,True,1,True,1,True,1,True,1,True,1,6.0,LT,LT,False,True,5
230015897.0,15897.0,LT,0.8803588931138339,0.14497859056191717,0.14075977233612935,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,6.0,15.0,12.0,2.0,4.0,1.0,61.0,5.0,1.0,3.0,1.0,False,False,False,False,False,False,False,False,False,False,True,1,False,0,False,0,,0,False,0,True,1,True,1,False,0,True,1,True,1,True,1,True,1,False,0,False,0,6.0,LT,LT,True,True,5
230015898.0,15898.0,LT,0.7175817818718309,0.1181722547048038,0.1147334899878979,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,4.0,4.0,4.0,3.0,3.0,3.0,,,3.0,3.0,1.0,,3.0,4.0,3.0,,1.0,1.0,6.0,2.0,15.0,1.0,4.0,1.0,75.0,7.0,1.0,3.0,1.0,False,False,False,False,False,False,False,False,False,False,True,1,True,1,True,1,,0,,0,True,1,True,1,False,0,,0,True,1,True,1,True,1,,0,False,0,7.0,LT,LT,True,True,5
230015899.0,15899.0,LT,0.5691745319946175,0.09373236537709236,0.09100479153417934,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,2.0,2.0,4.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,6.0,14.0,10.0,1.0,4.0,2.0,65.0,6.0,1.0,3.0,2.0,False,False,False,False,False,False,False,False,False,False,True,1,False,0,False,0,False,0,False,0,True,1,True,1,False,0,False,0,False,0,True,1,True,1,False,0,True,1,7.0,LT,LT,True,True,5
230015900.0,15900.0,LT,0.5691745319946175,0.09373236537709236,0.09100479153417934,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,2.0,2.0,,3.0,2.0,2.0,2.0,,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,6.0,14.0,9.0,2.0,4.0,2.0,72.0,6.0,1.0,3.0,2.0,False,False,False,False,False,False,False,False,False,True,True,1,False,0,False,0,False,0,,0,True,1,False,0,False,0,True,1,True,1,True,1,True,1,True,1,True,1,4.0,LT,LT,True,True,4
