uniqid — UNIQUE RESPONDENT ID (CASEID BY VERIAN COUNTRY CODE),serialid — SERIAL CASE ID (APPOINTED BY VERIAN),isocntry — COUNTRY CODE - ISO 3166,w1 — WEIGHT RESULT FROM TARGET (REDRESSMENT),w92 — WEIGHT TOTAL (ALL SAMPLES),d10 — GENDER,d11 — AGE EXACT,d11r2 — AGE RECODED - 6 CATEGORIES,d25 — TYPE OF COMMUNITY,d60 — DIFFICULTIES PAYING BILLS - LAST YEAR,d63 — SOCIAL CLASS - SELF-ASSESSMENT (5 CAT),qc7_1 — HOW MANY DAYS MEET WATER NEEDS IF WATER SERVICES DISRUPTED,qc7_2 — HOW MANY DAYS POWER ESSENT APPLIANCES IF ELEC INTERRUPTED,qc7_3 — HOW MANY DAYS COOK MEALS/HEAT IF GAS DISRUPTED,qc7_4 — HOW MANY DAYS PROVIDE FOOD IF TRANSPORTATION DISRUPTED,qc7_5 — HOW MANY DAYS CONTINUED TREATMENT IF MEDICATION SUPPLY DISRUPTED,qc6.1 — DISASTER MEASURES IN HH: EMERGENCY SUPPLY DRINKS/FOOD,qc6.2 — DISASTER MEASURES IN HH: EMERGENCY SUPPLY WATER COOKING/HYGIENE,qc6.3 — DISASTER MEASURES IN HH: FLASHLIGHT/CANDLES,qc6.4 — DISASTER MEASURES IN HH: BATTERY-POWERED RADIO,qc6.5 — DISASTER MEASURES IN HH: EMERGENCY PHARMACY,qc6.6 — DISASTER MEASURES IN HH: COPIES IMP DOCUMENTS/STORED SAFELY,qc6.7 — DISASTER MEASURES IN HH: EMERGENCY GRAB-BAG,qc6.8 — DISASTER MEASURES IN HH: SIGNED UP FOR ALERTS,qc6.9 — DISASTER MEASURES IN HH: PARTICIPATED IN TRAINING/EXERCISE,qc6.10 — DISASTER MEASURES IN HH: INFORMED ABOUT OFFICIAL RESPONSE PLAN,qc6.11 — DISASTER MEASURES IN HH: AGREED WITH FRIENDS/FAMILY TO CONTACT,qc6.12 — DISASTER MEASURES IN HH: DISCUSSED COMMON PROT MEASURES IN NEIGHBOURHOOD,qc6.13 — DISASTER MEASURES IN HH: INVESTED IN PROT MEASURES IN HOME,qc6.14 — DISASTER MEASURES IN HH: OTHER,qc6.15 — DISASTER MEASURES IN HH: DK (SPONT),qc6t — DISASTER MEASURES IN HH - NUMBER OF MEASURES,qc5_1 — STATEMENTS DISASTER RISKS - READ/SEENHEARD INFO IN LAST 12M,qc5_2 — STATEMENTS DISASTER RISKS - FEEL WELL INFORMED,qc5_3 — STATEMENTS DISASTER RISKS - TRUST INFORMATION BY PUB AUTH ON RISKS WHERE YOU LIVE,qc5_4 — STATEMENTS DISASTER RISKS - EASY TO FIND INFORMATION BY PUB AUTH ON RISKS WHERE YOU LIVE,qc5_5 — STATEMENTS DISASTER RISKS - KNOW WHERE TO FIND INFO WHEN TRAVELLING TO OTH EU CNTRY,qc8_1 — PERSONAL DISASTER PREPAREDNESS - BETTER ABLE TO COPE BY PREP,qc8_2 — PERSONAL DISASTER PREPAREDNESS - FEEL WELL PREPARED,qc8_3 — PERSONAL DISASTER PREPAREDNESS - NO TIME/FIN RESOURCES TO PREP,qc8_4 — PERSONAL DISASTER PREPAREDNESS - EASY TO FIND INFO ON HOW TO PREP,qc8_5 — PERSONAL DISASTER PREPAREDNESS - NEED MORE INFO TO PREP,qc8_6 — PERSONAL DISASTER PREPAREDNESS - KNOW HOW EMERG SERVICES WILL ALERT,qc8_7 — PERSONAL DISASTER PREPAREDNESS - KNOW WHAT TO DO IN EVENT OF DISASTER,qc8_8 — PERSONAL DISASTER PREPAREDNESS - EMPLOYER/SCHOOL ENCOURAGES TRAINING/PREP,qc8_9 — PERSONAL DISASTER PREPAREDNESS - EMERG SERVICES ENCOURAGE TRAINING/PREP
150009117.0,9117.0,FI,0.42299476098747324,0.13420891129203008,Man,78.0,75+,Rural area or village,Almost never/never,The working class of society,More than 7 days,More than 7 days,Not applicable (SPONTANEOUS),More than 7 days,More than 7 days,"Keep an emergency supply stock/pack of drinks, food",Keep an emergency supply of water for cooking and hygiene,Have flashlight or candles accessible,Have a battery-powered radio accessible,Keep a home pharmacy for emergencies,Have made sure you have copies of your most important documents or have stored them safely,Not mentioned,Have signed up for alerts and warnings from emergency services or authorities,"Have participated in a training or exercise, to learn how to react in an emergency","Got informed on the response plan your city, region or country has for a disaster or emergency (e.g. (...)",Not mentioned,Not mentioned,"Have invested in protective measures in your home (e.g. flood-proofed the electricity installation, cleared (...)",Not mentioned,Not mentioned,+5 mentions,Tend to agree,Totally agree,Tend to agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally disagree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree
150009118.0,9118.0,FI,0.5544085172421239,0.1759042200342941,Man,69.0,65-74,Small or middle sized town,Almost never/never,The working class of society,2 - 3 days,1 day or less,Not applicable (SPONTANEOUS),More than 7 days,More than 7 days,"Keep an emergency supply stock/pack of drinks, food",Keep an emergency supply of water for cooking and hygiene,Have flashlight or candles accessible,Have a battery-powered radio accessible,Keep a home pharmacy for emergencies,Have made sure you have copies of your most important documents or have stored them safely,Not mentioned,Not mentioned,"Have participated in a training or exercise, to learn how to react in an emergency",Not mentioned,"Agreed with family, friends on how to contact each other in case of an emergency",Discussed common protective measures in your neighbourhood,"Have invested in protective measures in your home (e.g. flood-proofed the electricity installation, cleared (...)",Not mentioned,Not mentioned,+5 mentions,Tend to agree,Totally agree,Totally agree,Tend to agree,Tend to disagree,Totally agree,Tend to agree,Totally disagree,Totally agree,Tend to agree,Totally agree,Totally agree,It depends on the type of disaster (SPONTANEOUS),Tend to agree
150009119.0,9119.0,FI,1.8626543295049216,0.5909879571384218,Woman,38.0,35-44,Small or middle sized town,Almost never/never,The middle class of society,2 - 3 days,2 - 3 days,More than 7 days,More than 7 days,Don't know (SPONTANEOUS),"Keep an emergency supply stock/pack of drinks, food",Keep an emergency supply of water for cooking and hygiene,Have flashlight or candles accessible,Have a battery-powered radio accessible,Keep a home pharmacy for emergencies,Not mentioned,Not mentioned,Not mentioned,Not mentioned,"Got informed on the response plan your city, region or country has for a disaster or emergency (e.g. (...)",Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,+5 mentions,Tend to agree,Tend to agree,Totally agree,Tend to agree,Tend to agree,Totally agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Totally disagree,Tend to disagree
150009120.0,9120.0,FI,0.79359542059097,0.25179408169315115,Woman,62.0,55-64,Small or middle sized town,Almost never/never,The middle class of society,2 - 3 days,2 - 3 days,Not applicable (SPONTANEOUS),4 - 7 days,Not applicable (SPONTANEOUS),"Keep an emergency supply stock/pack of drinks, food",Not mentioned,Have flashlight or candles accessible,Have a battery-powered radio accessible,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,3 mentions,Tend to agree,Totally agree,Totally agree,Totally agree,Tend to agree,Totally agree,Tend to agree,Totally disagree,Totally agree,Tend to disagree,Totally agree,Tend to agree,Totally agree,Totally agree
150009121.0,9121.0,FI,0.5544085172421239,0.1759042200342941,Man,67.0,65-74,Small or middle sized town,Almost never/never,The middle class of society,1 day or less,More than 7 days,Not applicable (SPONTANEOUS),More than 7 days,Not applicable (SPONTANEOUS),"Keep an emergency supply stock/pack of drinks, food",Not mentioned,Have flashlight or candles accessible,Have a battery-powered radio accessible,Keep a home pharmacy for emergencies,Have made sure you have copies of your most important documents or have stored them safely,Not mentioned,Not mentioned,Not mentioned,"Got informed on the response plan your city, region or country has for a disaster or emergency (e.g. (...)",Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,+5 mentions,Totally agree,Totally agree,Totally agree,Totally agree,Tend to disagree,Totally agree,Tend to agree,Totally disagree,Totally agree,Tend to disagree,Totally agree,Totally agree,It depends on the type of disaster (SPONTANEOUS),Totally agree
150009122.0,9122.0,FI,0.714047436929253,0.22655488426717785,Woman,72.0,65-74,Small or middle sized town,Almost never/never,The middle class of society,2 - 3 days,1 day or less,Not applicable (SPONTANEOUS),More than 7 days,Not applicable (SPONTANEOUS),"Keep an emergency supply stock/pack of drinks, food",Keep an emergency supply of water for cooking and hygiene,Have flashlight or candles accessible,Have a battery-powered radio accessible,Keep a home pharmacy for emergencies,Have made sure you have copies of your most important documents or have stored them safely,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,+5 mentions,Totally agree,Tend to agree,Totally agree,Totally agree,Totally agree,Totally agree,Tend to agree,Totally disagree,Totally agree,Totally agree,Totally agree,Tend to agree,It depends on the type of disaster (SPONTANEOUS),Tend to agree
150009123.0,9123.0,FI,0.5544085172421239,0.1759042200342941,Man,66.0,65-74,Small or middle sized town,Almost never/never,The upper middle class of society,1 day or less,1 day or less,Not applicable (SPONTANEOUS),More than 7 days,More than 7 days,"Keep an emergency supply stock/pack of drinks, food",Keep an emergency supply of water for cooking and hygiene,Have flashlight or candles accessible,Have a battery-powered radio accessible,Keep a home pharmacy for emergencies,Not mentioned,Not mentioned,Not mentioned,Not mentioned,"Got informed on the response plan your city, region or country has for a disaster or emergency (e.g. (...)","Agreed with family, friends on how to contact each other in case of an emergency",Discussed common protective measures in your neighbourhood,Not mentioned,Not mentioned,Not mentioned,+5 mentions,Totally agree,Totally agree,Totally agree,Totally agree,Tend to disagree,Totally agree,Tend to agree,Tend to disagree,Tend to agree,Totally agree,Totally agree,Tend to disagree,It depends on the type of disaster (SPONTANEOUS),Totally disagree
150009124.0,9124.0,FI,0.714047436929253,0.22655488426717785,Woman,72.0,65-74,Small or middle sized town,Almost never/never,The upper middle class of society,1 day or less,1 day or less,Not applicable (SPONTANEOUS),4 - 7 days,More than 7 days,Not mentioned,Not mentioned,Have flashlight or candles accessible,Have a battery-powered radio accessible,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,"Got informed on the response plan your city, region or country has for a disaster or emergency (e.g. (...)",Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,3 mentions,Totally agree,Totally agree,Totally agree,Tend to agree,Tend to disagree,Totally agree,Tend to disagree,Tend to disagree,Totally agree,Totally disagree,Totally agree,Totally agree,It depends on the type of disaster (SPONTANEOUS),Totally agree
150009125.0,9125.0,FI,1.7666499639387756,0.5605274347625995,Man,36.0,35-44,Small or middle sized town,Almost never/never,The middle class of society,1 day or less,1 day or less,Not applicable (SPONTANEOUS),4 - 7 days,Not applicable (SPONTANEOUS),Not mentioned,Not mentioned,Have flashlight or candles accessible,Not mentioned,Keep a home pharmacy for emergencies,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,2 mentions,Tend to agree,Tend to agree,Tend to agree,Don't know (SPONTANEOUS),Totally agree,Totally agree,Tend to disagree,Totally disagree,Don't know (SPONTANEOUS),Tend to agree,Tend to agree,Tend to agree,Totally disagree,Totally disagree
150009126.0,9126.0,FI,1.0913368850179979,0.34626229140326975,Man,45.0,45-54,Small or middle sized town,Almost never/never,The upper middle class of society,1 day or less,1 day or less,Not applicable (SPONTANEOUS),4 - 7 days,Not applicable (SPONTANEOUS),"Keep an emergency supply stock/pack of drinks, food",Not mentioned,Have flashlight or candles accessible,Have a battery-powered radio accessible,Keep a home pharmacy for emergencies,Have made sure you have copies of your most important documents or have stored them safely,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,+5 mentions,Totally agree,Tend to agree,Totally agree,Tend to agree,Tend to agree,Totally agree,Tend to disagree,Tend to disagree,Tend to agree,Tend to agree,Tend to agree,Tend to disagree,Tend to disagree,Tend to disagree
